Gene	Lenth	Location1	Location2	GC
CHMP4C	27081	chr8:82644669	chr8:82671750	0.38
RP13-923O23.6	23891	chr8:82704058	chr8:82727949	0.35
SNX16	43285	chr8:82711816	chr8:82755101	0.35
RP11-354A14.1	37816	chr8:82797612	chr8:82835428	0.39
RP11-99H20.1	62126	chr8:83010686	chr8:83072812	0.36
RP11-653B10.1	162585	chr8:83426803	chr8:83589388	0.34
RP11-731N10.1	95917	chr8:83775014	chr8:83870931	0.34
CTD-2272D18.1	49822	chr8:83824339	chr8:83874161	0.34
RP11-51M18.1	5142	chr8:84315993	chr8:84321135	0.33
RP11-120I21.2	227570	chr8:84824948	chr8:85052518	0.35
RALYL	739057	chr8:85095022	chr8:85834079	0.35
LRRCC1	38929	chr8:86019382	chr8:86058311	0.36
RP11-219B4.7	4985	chr8:86084312	chr8:86089297	0.38
E2F5	39927	chr8:86089460	chr8:86129387	0.39
RP11-219B4.3	628	chr8:86089757	chr8:86090385	0.66
C8orf59	6339	chr8:86126311	chr8:86132650	0.39
CA13	63486	chr8:86132816	chr8:86196302	0.41
RP11-219B4.5	23271	chr8:86134675	chr8:86157946	0.42
RP11-219B4.6	3553	chr8:86158524	chr8:86162077	0.37
CA1	51406	chr8:86239837	chr8:86291243	0.37
CA3	75604	chr8:86285665	chr8:86361269	0.38
RP11-317J10.2	23064	chr8:86354080	chr8:86377144	0.40
CA2	17641	chr8:86376081	chr8:86393722	0.39
RP11-317J10.4	16612	chr8:86436128	chr8:86452740	0.39
REXO1L1P	7031	chr8:86568695	chr8:86575726	0.53
REXO1L11P	2027	chr8:86747543	chr8:86749570	0.64
REXO1L10P	2027	chr8:86756718	chr8:86758745	0.64
CTA-392E5.1	111378	chr8:86851934	chr8:86963312	0.37
ATP6V0D2	166905	chr8:86999552	chr8:87166457	0.39
PSKH2	40248	chr8:87060602	chr8:87100850	0.39
CTD-3118D11.2	55260	chr8:87111194	chr8:87166454	0.40
CTD-3118D11.3	31818	chr8:87192647	chr8:87224465	0.40
SLC7A13	107094	chr8:87226281	chr8:87333375	0.38
WWP1	135682	chr8:87354967	chr8:87490649	0.37
RMDN1	46100	chr8:87480486	chr8:87526586	0.38
CPNE3	76667	chr8:87497059	chr8:87573726	0.38
CNGB3	189698	chr8:87566205	chr8:87755903	0.38
RP11-386D6.1	57476	chr8:87719775	chr8:87777251	0.37
RP11-386D6.2	52623	chr8:87778163	chr8:87830786	0.36
CNBD1	748777	chr8:87878670	chr8:88627447	0.36
AF121898.3	213732	chr8:88554214	chr8:88767946	0.36
DCAF4L2	3323	chr8:88882973	chr8:88886296	0.42
CTB-118P15.2	44948	chr8:88986393	chr8:89031341	0.37
MMP16	296017	chr8:89044237	chr8:89340254	0.35
RP11-586K2.1	410298	chr8:89339065	chr8:89749363	0.36
RP11-642C5.1	590	chr8:89820547	chr8:89821137	0.31
RP11-37B2.1	148317	chr8:90621638	chr8:90769955	0.38
RIPK2	33316	chr8:90769975	chr8:90803291	0.36
OSGIN2	26029	chr8:90914087	chr8:90940116	0.38
NBN	69892	chr8:90945564	chr8:91015456	0.37
DECR1	50687	chr8:91013633	chr8:91064320	0.38
CALB1	36867	chr8:91070836	chr8:91107703	0.36
LINC00534	347830	chr8:91233716	chr8:91581546	0.38
LINC01030	13261	chr8:91605032	chr8:91618293	0.36
TMEM64	169637	chr8:91634223	chr8:91803860	0.39
RP11-68L18.1	10157	chr8:91658669	chr8:91668826	0.41
NECAB1	167858	chr8:91803778	chr8:91971636	0.37
RP11-662G23.1	52766	chr8:91818702	chr8:91871468	0.37
C8orf88	26620	chr8:91970865	chr8:91997485	0.33
TMEM55A	47268	chr8:92006024	chr8:92053292	0.36
GS1-251I9.3	2067	chr8:92028816	chr8:92030883	0.35
GS1-251I9.4	10280	chr8:92072137	chr8:92082417	0.35
OTUD6B	16899	chr8:92082424	chr8:92099323	0.35
LRRC69	117404	chr8:92114060	chr8:92231464	0.37
SLC26A7	188656	chr8:92221722	chr8:92410378	0.36
RP11-122C21.1	364695	chr8:92555152	chr8:92919847	0.38
RUNX1T1	148311	chr8:92967203	chr8:93115514	0.38
GS1-5L10.1	1510	chr8:92988136	chr8:92989646	0.33
RP11-700E23.2	10100	chr8:93415773	chr8:93425873	0.38
RP11-700E23.1	948	chr8:93433078	chr8:93434026	0.33
RP11-587H10.1	9233	chr8:93512811	chr8:93522044	0.34
RP11-587H10.2	90051	chr8:93577671	chr8:93667722	0.37
RP11-100L22.1	10758	chr8:93681064	chr8:93691822	0.35
RP11-100L22.4	2087	chr8:93735252	chr8:93737339	0.38
RP11-100L22.3	10749	chr8:93777930	chr8:93788679	0.40
CTD-3239E11.2	82661	chr8:93895212	chr8:93977873	0.34
TRIQK	134143	chr8:93895758	chr8:94029901	0.34
AC117834.1	2148	chr8:93895865	chr8:93898013	0.33
C8orf87	32755	chr8:94146324	chr8:94179079	0.37
LINC00535	487130	chr8:94225531	chr8:94712661	0.40
RP11-388K12.1	18953	chr8:94228154	chr8:94247107	0.40
AC016885.1	521	chr8:94241867	chr8:94242388	0.61
RP11-388K12.2	38309	chr8:94271895	chr8:94310204	0.39
FAM92A1	32966	chr8:94710789	chr8:94743755	0.39
CTD-2006H14.2	735	chr8:94727606	chr8:94728341	0.31
RP11-10N23.2	1593	chr8:94731802	chr8:94733395	0.41
RBM12B	11661	chr8:94741584	chr8:94753245	0.39
RP11-10N23.4	806	chr8:94745444	chr8:94746250	0.40
RBM12B-AS1	652	chr8:94752349	chr8:94753001	0.48
RP11-10N23.5	3341	chr8:94753421	chr8:94756762	0.44
TMEM67	64390	chr8:94767072	chr8:94831462	0.37
RP3-388N13.3	12289	chr8:94846682	chr8:94858971	0.42
PDP1	68259	chr8:94870035	chr8:94938294	0.43
MIR378D2	948	chr8:94927962	chr8:94928910	0.53
KB-1184D12.1	6558	chr8:95109992	chr8:95116550	0.39
CDH17	90132	chr8:95139399	chr8:95229531	0.41
GEM	13097	chr8:95261481	chr8:95274578	0.44
RAD54B	103149	chr8:95384188	chr8:95487337	0.37
FSBP	58575	chr8:95390605	chr8:95449180	0.36
KIAA1429	65836	chr8:95499921	chr8:95565757	0.39
RP11-267M23.3	763	chr8:95545856	chr8:95546619	0.41
AC023632.1	1859	chr8:95558771	chr8:95560630	0.37
RP11-267M23.4	16023	chr8:95565950	chr8:95581973	0.41
RP11-22C11.2	2182	chr8:95649513	chr8:95651695	0.46
ESRP1	66392	chr8:95653302	chr8:95719694	0.40
DPY19L4	74133	chr8:95731931	chr8:95806064	0.40
KB-1608C10.2	1463	chr8:95803871	chr8:95805334	0.41
INTS8	68435	chr8:95825539	chr8:95893974	0.40
CCNE2	16908	chr8:95891998	chr8:95908906	0.42
RP11-347C18.5	461	chr8:95896837	chr8:95897298	0.28
NDUFAF6	220688	chr8:95907995	chr8:96128683	0.43
TP53INP1	23439	chr8:95938200	chr8:95961639	0.43
MIR3150A	6374	chr8:96079036	chr8:96085410	0.46
RP11-320N21.2	16192	chr8:96083960	chr8:96100152	0.44
PLEKHF2	22880	chr8:96146032	chr8:96168912	0.37
KB-1047C11.2	605680	chr8:96216684	chr8:96822364	0.40
KB-1047C11.1	9367	chr8:96219235	chr8:96228602	0.50
C8orf37	24282	chr8:96257147	chr8:96281429	0.37
RP11-90D11.1	22118	chr8:96517634	chr8:96539752	0.40
RP11-31K23.2	6995	chr8:96998336	chr8:97005331	0.42
KB-1043D8.8	372	chr8:97152800	chr8:97153172	0.33
GDF6	18458	chr8:97154562	chr8:97173020	0.52
UQCRB	9714	chr8:97238148	chr8:97247862	0.38
KB-1043D8.6	2607	chr8:97247655	chr8:97250262	0.43
MTERFD1	22212	chr8:97251626	chr8:97273838	0.39
PTDSS1	75280	chr8:97273943	chr8:97349223	0.44
KB-1448A5.1	15573	chr8:97384093	chr8:97399666	0.41
SDC2	118421	chr8:97505579	chr8:97624000	0.41
CPQ	504427	chr8:97657455	chr8:98161882	0.38
KB-1958F4.2	544	chr8:98145063	chr8:98145607	0.36
KB-1000E4.2	462	chr8:98253970	chr8:98254432	0.40
TSPYL5	4459	chr8:98285717	chr8:98290176	0.50
MTDH	84591	chr8:98656407	chr8:98740998	0.41
LAPTM4B	77956	chr8:98787285	chr8:98865241	0.44
MATN2	167876	chr8:98881068	chr8:99048944	0.45
RPL30	21618	chr8:99037079	chr8:99058697	0.43
KB-1208A12.3	2395	chr8:99053954	chr8:99056349	0.39
C8orf47	29299	chr8:99076539	chr8:99105838	0.43
HRSP12	14897	chr8:99114572	chr8:99129469	0.39
POP1	42537	chr8:99129525	chr8:99172062	0.42
NIPAL2	104560	chr8:99202061	chr8:99306621	0.39
KB-1458E12.1	16892	chr8:99383583	chr8:99400475	0.42
STK3	541424	chr8:99413631	chr8:99955055	0.39
KCNS2	5826	chr8:99439250	chr8:99445076	0.52
KB-1517D11.4	2621	chr8:99448897	chr8:99451518	0.50
KB-1205A7.2	3087	chr8:99615481	chr8:99618568	0.45
RP11-44N12.5	503	chr8:99955823	chr8:99956326	0.35
OSR2	7701	chr8:99956631	chr8:99964332	0.51
RP11-44N12.2	6856	chr8:99973656	chr8:99980512	0.37
RP11-410L14.2	16281	chr8:100008991	chr8:100025272	0.38
VPS13B	864314	chr8:100025494	chr8:100889808	0.37
CTD-2340D6.2	2322	chr8:100103966	chr8:100106288	0.33
RP11-402L5.1	2572	chr8:100808843	chr8:100811415	0.39
COX6C	20862	chr8:100885428	chr8:100906290	0.41
RGS22	170332	chr8:100973164	chr8:101143496	0.38
FBXO43	12440	chr8:101145588	chr8:101158028	0.39
POLR2K	3418	chr8:101162812	chr8:101166230	0.37
SPAG1	101372	chr8:101170134	chr8:101271506	0.40
RNF19A	79158	chr8:101269288	chr8:101348446	0.39
KB-1991G8.1	13112	chr8:101349823	chr8:101362935	0.39
KB-173C10.2	33199	chr8:101393488	chr8:101426687	0.42
KB-173C10.1	2163	chr8:101441062	chr8:101443225	0.46
KB-1615E4.2	25473	chr8:101487903	chr8:101513376	0.46
KB-1615E4.3	1185	chr8:101504756	chr8:101505941	0.48
ANKRD46	50032	chr8:101521980	chr8:101572012	0.40
SNX31	90527	chr8:101585116	chr8:101675643	0.43
KB-1083B1.1	1412	chr8:101630809	chr8:101632221	0.49
PABPC1	36993	chr8:101698044	chr8:101735037	0.41
YWHAZ	36863	chr8:101928753	chr8:101965616	0.41
RP11-302J23.1	24197	chr8:102064282	chr8:102088479	0.46
KB-1460A1.1	4013	chr8:102134373	chr8:102138386	0.46
KB-1460A1.3	1264	chr8:102151893	chr8:102153157	0.44
KB-1460A1.5	2824	chr8:102179033	chr8:102181857	0.42
ZNF706	28315	chr8:102190106	chr8:102218421	0.40
KB-1410C5.5	410	chr8:102220376	chr8:102220786	0.33
KB-1410C5.2	1362	chr8:102273769	chr8:102275131	0.47
KB-1410C5.3	6338	chr8:102299673	chr8:102306011	0.46
KB-1930G5.3	5887	chr8:102399527	chr8:102405414	0.44
KB-1930G5.4	40579	chr8:102424101	chr8:102464680	0.44
KB-1562D12.1	31322	chr8:102473405	chr8:102504727	0.42
GRHL2	177294	chr8:102504660	chr8:102681954	0.41
NCALD	438364	chr8:102698771	chr8:103137135	0.41
KB-1107E3.1	2546	chr8:102698775	chr8:102701321	0.44
RRM2B	34616	chr8:103216730	chr8:103251346	0.38
KB-431C1.4	13939	chr8:103251622	chr8:103265561	0.40
UBR5	159829	chr8:103265240	chr8:103425069	0.38
KB-431C1.5	1429	chr8:103268620	chr8:103270049	0.37
KB-1980E6.3	9928	chr8:103540968	chr8:103550896	0.44
ODF1	9445	chr8:103563800	chr8:103573245	0.44
KLF10	7123	chr8:103661007	chr8:103668130	0.48
KB-1732A1.1	4454	chr8:103817745	chr8:103822199	0.58
AZIN1	67507	chr8:103838585	chr8:103906092	0.41
KB-1254G8.1	1620	chr8:103866683	chr8:103868303	0.38
KB-1507C5.2	113576	chr8:103876528	chr8:103990104	0.44
KB-1507C5.4	21399	chr8:103991013	chr8:104012412	0.43
KB-1639H6.2	1241	chr8:104032415	chr8:104033656	0.53
ATP6V1C1	51988	chr8:104033291	chr8:104085279	0.38
KB-1639H6.4	11934	chr8:104133260	chr8:104145194	0.43
C8orf56	8512	chr8:104145191	chr8:104153703	0.47
BAALC	89595	chr8:104152938	chr8:104242533	0.43
RP11-318M2.2	141782	chr8:104169218	chr8:104311000	0.41
RP11-318M2.3	889	chr8:104240653	chr8:104241542	0.43
FZD6	34433	chr8:104310661	chr8:104345094	0.38
CTHRC1	11482	chr8:104383743	chr8:104395225	0.40
RP11-1C8.6	776	chr8:104395306	chr8:104396082	0.32
SLC25A32	16554	chr8:104410863	chr8:104427417	0.37
DCAF13	28739	chr8:104426942	chr8:104455681	0.37
RP11-1C8.5	4596	chr8:104476617	chr8:104481213	0.41
RP11-1C8.7	353	chr8:104493494	chr8:104493847	0.32
RP11-1C8.4	18278	chr8:104495626	chr8:104513904	0.43
RIMS2	755346	chr8:104512976	chr8:105268322	0.35
DPYS	136729	chr8:105342552	chr8:105479281	0.42
DCSTAMP	17602	chr8:105351315	chr8:105368917	0.44
LRP12	99793	chr8:105501459	chr8:105601252	0.36
RP11-127H5.1	828527	chr8:105602961	chr8:106431488	0.37
RP11-574O7.1	45746	chr8:106155088	chr8:106200834	0.36
ZFPM2	485840	chr8:106330920	chr8:106816760	0.36
RP11-642D21.2	23413	chr8:106674580	chr8:106697993	0.35
RP11-152P17.3	7468	chr8:106838798	chr8:106846266	0.35
RP11-778D12.2	3306	chr8:107277663	chr8:107280969	0.37
RP11-395G23.3	2755	chr8:107282372	chr8:107285127	0.57
OXR1	482449	chr8:107282473	chr8:107764922	0.37
RP11-649G15.2	137074	chr8:107532702	chr8:107669776	0.38
ABRA	10762	chr8:107771711	chr8:107782473	0.40
ANGPT1	248562	chr8:108261721	chr8:108510283	0.36
RSPO2	184369	chr8:108911544	chr8:109095913	0.38
EIF3E	234117	chr8:109213445	chr8:109447562	0.37
RP11-35G22.1	1344	chr8:109238429	chr8:109239773	0.40
EMC2	43315	chr8:109455830	chr8:109499145	0.35
RP11-790J24.1	45705	chr8:109593291	chr8:109638996	0.38
TMEM74	180765	chr8:109619079	chr8:109799844	0.37
RP11-1084E5.1	168388	chr8:109907258	chr8:110075646	0.37
TRHR	32963	chr8:110098850	chr8:110131813	0.38
NUDCD1	93466	chr8:110253148	chr8:110346614	0.37
RP11-122A21.2	17915	chr8:110310827	chr8:110328742	0.42
ENY2	11629	chr8:110346553	chr8:110358182	0.37
PKHD1L1	167853	chr8:110374706	chr8:110542559	0.35
EBAG9	26285	chr8:110551940	chr8:110578225	0.35
SYBU	117813	chr8:110586207	chr8:110704020	0.40
RP11-422N16.3	3969	chr8:110656344	chr8:110660313	0.50
KCNV1	12202	chr8:110975874	chr8:110988076	0.41
RP11-696P8.2	838	chr8:110986172	chr8:110987010	0.66
RP11-211F2.1	14864	chr8:111346972	chr8:111361836	0.33
RP11-238I10.1	23153	chr8:111621470	chr8:111644623	0.34
KB-1299A7.2	5896	chr8:111779092	chr8:111784988	0.28
RP11-946L20.2	89743	chr8:111949919	chr8:112039662	0.34
RP11-946L20.4	137242	chr8:112111190	chr8:112248432	0.35
RP11-114O8.1	679	chr8:112191422	chr8:112192101	0.41
RP11-1101K5.1	166334	chr8:112388868	chr8:112555202	0.34
RP11-58O3.2	14814	chr8:112754241	chr8:112769055	0.34
CSMD3	1214171	chr8:113235157	chr8:114449328	0.34
RP11-67H2.1	16648	chr8:114612539	chr8:114629187	0.35
RP11-267L5.1	13772	chr8:115294296	chr8:115308068	0.39
TRPS1	401175	chr8:116420724	chr8:116821899	0.36
AF178030.2	1723	chr8:116521829	chr8:116523552	0.36
LINC00536	374561	chr8:116962736	chr8:117337297	0.37
RP11-536K17.1	1214	chr8:117414781	chr8:117415995	0.44
EIF3H	124795	chr8:117654369	chr8:117779164	0.38
UTP23	82960	chr8:117778742	chr8:117861702	0.40
RAD21	28931	chr8:117858174	chr8:117887105	0.36
RAD21-AS1	2444	chr8:117886663	chr8:117889107	0.42
AARD	6288	chr8:117950438	chr8:117956726	0.43
SLC30A8	226441	chr8:117962512	chr8:118188953	0.39
MED30	19549	chr8:118532952	chr8:118552501	0.35
EXT1	317363	chr8:118806729	chr8:119124092	0.41
SAMD12	432536	chr8:119201698	chr8:119634234	0.40
AC023590.1	118466	chr8:119294378	chr8:119412844	0.40
TNFRSF11B	28643	chr8:119935796	chr8:119964439	0.38
COLEC10	111130	chr8:120007691	chr8:120118821	0.37
RP11-278I4.2	5840	chr8:120075181	chr8:120081021	0.38
MAL2	80640	chr8:120177273	chr8:120257913	0.40
RP11-4K16.2	31737	chr8:120227351	chr8:120259088	0.40
NOV	8047	chr8:120428546	chr8:120436593	0.42
RP11-775B15.2	42440	chr8:120432150	chr8:120474590	0.39
ENPP2	116367	chr8:120569326	chr8:120685693	0.39
TAF2	102088	chr8:120743015	chr8:120845103	0.37
DSCC1	22034	chr8:120846216	chr8:120868250	0.42
KB-1471A8.1	7069	chr8:120879659	chr8:120886728	0.46
DEPTOR	177195	chr8:120885957	chr8:121063152	0.43
RP11-760H22.2	4021	chr8:121064419	chr8:121068440	0.41
COL14A1	312256	chr8:121072019	chr8:121384275	0.39
MRPL13	64642	chr8:121393000	chr8:121457642	0.36
MTBP	96733	chr8:121457640	chr8:121554373	0.35
SNTB1	277528	chr8:121547985	chr8:121825513	0.40
RP11-713M15.1	15579	chr8:121773493	chr8:121789072	0.40
RP11-713M15.2	1140	chr8:121824459	chr8:121825599	0.53
RP11-369K17.1	206689	chr8:121925305	chr8:122131994	0.38
HAS2	29274	chr8:122624356	chr8:122653630	0.39
HAS2-AS1	5400	chr8:122651533	chr8:122656933	0.47
RP11-3G20.1	12789	chr8:122684013	chr8:122696802	0.38
RP11-3G20.2	28505	chr8:122691366	chr8:122719871	0.36
RP11-785H20.1	19549	chr8:122896963	chr8:122916512	0.36
RP11-398G24.2	172544	chr8:122966879	chr8:123139423	0.37
RP11-94A24.1	14219	chr8:123426571	chr8:123440790	0.37
RP11-96B2.1	4300	chr8:123497754	chr8:123502054	0.41
LINC01151	23721	chr8:123682624	chr8:123706345	0.44
RP11-973F15.2	3154	chr8:123712508	chr8:123715662	0.43
RP11-44N11.2	859	chr8:123792210	chr8:123793069	0.61
RP11-44N11.3	311	chr8:123792999	chr8:123793310	0.51
ZHX2	193117	chr8:123793633	chr8:123986750	0.46
RP11-557C18.4	8603	chr8:123989266	chr8:123997869	0.45
RP11-557C18.3	28191	chr8:124014800	chr8:124042991	0.43
DERL1	29259	chr8:124025404	chr8:124054663	0.41
TBC1D31	110185	chr8:124054208	chr8:124164393	0.40
FAM83A	31114	chr8:124191200	chr8:124222314	0.50
RP11-539E17.5	1150	chr8:124193878	chr8:124195028	0.59
FAM83A-AS1	1571	chr8:124213412	chr8:124214983	0.49
C8orf76	21442	chr8:124232196	chr8:124253638	0.44
ZHX1-C8ORF76	41196	chr8:124238431	chr8:124279627	0.41
ZHX1	27085	chr8:124260696	chr8:124287781	0.39
ATAD2	96500	chr8:124332090	chr8:124428590	0.41
WDYHV1	50505	chr8:124428965	chr8:124479470	0.45
FBXO32	43317	chr8:124510129	chr8:124553446	0.44
RP11-174I12.2	5692	chr8:124575310	chr8:124581002	0.43
CTD-2552K11.2	44345	chr8:124626465	chr8:124670810	0.45
KLHL38	7423	chr8:124657767	chr8:124665190	0.47
ANXA13	56613	chr8:124693034	chr8:124749647	0.44
FAM91A1	46996	chr8:124780696	chr8:124827692	0.37
FER1L6	268075	chr8:124864227	chr8:125132302	0.42
RP11-245A18.1	1174	chr8:124936999	chr8:124938173	0.41
FER1L6-AS1	56645	chr8:124996378	chr8:125053023	0.41
RP11-959I15.4	4458	chr8:125048251	chr8:125052709	0.46
FER1L6-AS2	125449	chr8:125058314	chr8:125183763	0.42
RP11-37N22.1	54727	chr8:125204912	chr8:125259639	0.43
RP11-383J24.1	5901	chr8:125283924	chr8:125289825	0.48
RP11-383J24.6	2187	chr8:125318430	chr8:125320617	0.39
TMEM65	60702	chr8:125324231	chr8:125384933	0.36
TRMT12	11343	chr8:125463048	chr8:125474391	0.44
RNF139-AS1	12091	chr8:125474726	chr8:125486817	0.41
RNF139	13176	chr8:125486979	chr8:125500155	0.39
TATDN1	50973	chr8:125500726	chr8:125551699	0.41
RP11-158K1.3	3133	chr8:125500751	chr8:125503884	0.41
NDUFB9	29407	chr8:125551344	chr8:125580751	0.46
MTSS1	177699	chr8:125563031	chr8:125740730	0.46
RP11-532M24.1	1017	chr8:125591872	chr8:125592889	0.41
RP11-1082L8.4	4064	chr8:125823860	chr8:125827924	0.38
RP11-1082L8.3	22632	chr8:125847126	chr8:125869758	0.46
LINC00964	105591	chr8:125860979	chr8:125966570	0.43
RP11-1082L8.2	7241	chr8:125948766	chr8:125956007	0.46
ZNF572	6091	chr8:125985540	chr8:125991631	0.40
RP11-6D1.3	1213	chr8:126009227	chr8:126010440	0.49
SQLE	23786	chr8:126010739	chr8:126034525	0.38
KIAA0196	67580	chr8:126036502	chr8:126104082	0.40
KIAA0196-AS1	4305	chr8:126052926	chr8:126057231	0.40
NSMCE2	275441	chr8:126103921	chr8:126379362	0.40
RP11-550A5.2	3220	chr8:126360438	chr8:126363658	0.43
TRIB1	8084	chr8:126442563	chr8:126450647	0.51
RP11-136O12.2	74434	chr8:126479181	chr8:126553615	0.47
RP11-697B24.1	1186	chr8:126761299	chr8:126762485	0.42
LINC00861	28941	chr8:126934552	chr8:126963493	0.38
RP11-622O11.4	2007	chr8:127011238	chr8:127013245	0.36
RP11-65D17.1	4040	chr8:127337740	chr8:127341780	0.39
RP11-103H7.1	18407	chr8:127486434	chr8:127504841	0.41
RP11-103H7.2	2154	chr8:127510394	chr8:127512548	0.43
RP11-103H7.3	3653	chr8:127530943	chr8:127534596	0.44
FAM84B	5951	chr8:127564687	chr8:127570638	0.50
RP11-103H7.5	537	chr8:127569141	chr8:127569678	0.65
RP11-89K10.1	155540	chr8:127570120	chr8:127725660	0.41
RP11-351C8.1	23761	chr8:127779121	chr8:127802882	0.37
PCAT1	173959	chr8:127859300	chr8:128033259	0.39
PCAT2	9527	chr8:128084939	chr8:128094466	0.37
CASC19	17587	chr8:128197880	chr8:128215467	0.38
CCAT1	11222	chr8:128220111	chr8:128231333	0.39
CASC8	192322	chr8:128302062	chr8:128494384	0.41
RP11-382A18.2	53357	chr8:128351519	chr8:128404876	0.40
POU5F1B	5776	chr8:128426535	chr8:128432311	0.44
CASC11	47625	chr8:128698588	chr8:128746213	0.44
MYC	5994	chr8:128747680	chr8:128753674	0.54
TMEM75	1465	chr8:128959126	chr8:128960591	0.46
LINC00977	24783	chr8:130228713	chr8:130253496	0.37
CCDC26	328548	chr8:130363937	chr8:130692485	0.39
RP11-26E5.1	29903	chr8:130428195	chr8:130458098	0.38
RP11-419K12.1	4544	chr8:130691381	chr8:130695925	0.44
GSDMC	38692	chr8:130760442	chr8:130799134	0.39
RP11-473O4.5	12203	chr8:130844547	chr8:130856750	0.42
FAM49B	177536	chr8:130851839	chr8:131029375	0.42
RP11-473O4.4	11293	chr8:130902711	chr8:130914004	0.38
RP11-473O4.3	9538	chr8:130952102	chr8:130961640	0.46
ASAP1	391553	chr8:131064353	chr8:131455906	0.42
KB-1568E2.1	60413	chr8:131607545	chr8:131667958	0.42
ADCY8	262125	chr8:131792547	chr8:132054672	0.41
RP11-737F9.1	14256	chr8:131947655	chr8:131961911	0.42
RP11-381I15.1	14493	chr8:132142635	chr8:132157128	0.38
CTD-2501M5.1	9087	chr8:132320792	chr8:132329879	0.43
EFR3A	109554	chr8:132916335	chr8:133025889	0.35
OC90	61435	chr8:133036467	chr8:133097902	0.45
HHLA1	49673	chr8:133073733	chr8:133123406	0.43
KCNQ3	360092	chr8:133133108	chr8:133493200	0.44
HPYR1	981	chr8:133572745	chr8:133573726	0.46
LRRC6	103518	chr8:133584320	chr8:133687838	0.39
TMEM71	75705	chr8:133697253	chr8:133772958	0.40
PHF20L1	73434	chr8:133787618	chr8:133861052	0.35
AF230666.2	6168	chr8:133850375	chr8:133856543	0.37
TG	267944	chr8:133879203	chr8:134147147	0.46
SLA	66325	chr8:134048973	chr8:134115298	0.47
WISP1	39305	chr8:134203282	chr8:134242587	0.48
NDRG1	64851	chr8:134249414	chr8:134314265	0.50
ST3GAL1	117092	chr8:134467091	chr8:134584183	0.49
RP11-629O1.2	678	chr8:134585426	chr8:134586104	0.47
CTD-2588J1.1	43128	chr8:134783652	chr8:134826780	0.42
CTD-2309H9.3	1801	chr8:134787794	chr8:134789595	0.46
RP11-157E21.1	15911	chr8:134898739	chr8:134914650	0.42
RP11-513H8.1	108582	chr8:135224108	chr8:135332690	0.41
ZFAT	235261	chr8:135490031	chr8:135725292	0.45
ZFAT-AS1	2618	chr8:135610314	chr8:135612932	0.42
CTD-2342N23.3	1002	chr8:135735190	chr8:135736192	0.53
AC083843.1	6252	chr8:135804263	chr8:135810515	0.36
AC083843.2	1735	chr8:135844990	chr8:135846725	0.43
AC083843.3	4568	chr8:135850312	chr8:135854880	0.40
RP11-1057B8.2	31964	chr8:135862178	chr8:135894142	0.43
RP11-452N4.1	65588	chr8:136246374	chr8:136311962	0.42
RP11-343P9.1	1087	chr8:136468108	chr8:136469195	0.55
KHDRBS3	199265	chr8:136469700	chr8:136668965	0.38
RP11-149P24.1	119101	chr8:137059264	chr8:137178365	0.39
RP11-431D12.1	40428	chr8:137501691	chr8:137542119	0.36
RP11-30J20.1	454137	chr8:137543041	chr8:137997178	0.37
RP11-238K6.1	274126	chr8:138821687	chr8:139095813	0.40
RP11-238K6.2	76717	chr8:138864570	chr8:138941287	0.40
RP11-489O18.1	9972	chr8:139075511	chr8:139085483	0.37
FAM135B	366799	chr8:139142266	chr8:139509065	0.42
COL22A1	325771	chr8:139600478	chr8:139926249	0.47
RP11-324F11.1	6525	chr8:140108548	chr8:140115073	0.44
CTD-2534J5.1	13760	chr8:140126436	chr8:140140196	0.42
RP11-398H6.1	2954	chr8:140472305	chr8:140475259	0.43
KCNK9	102218	chr8:140613081	chr8:140715299	0.52
TRAPPC9	726092	chr8:140742586	chr8:141468678	0.47
RP11-284H18.1	5382	chr8:140923482	chr8:140928864	0.49
C8orf17	2774	chr8:140943416	chr8:140946190	0.50
CTA-204B4.2	2230	chr8:141515912	chr8:141518142	0.48
CHRAC1	5839	chr8:141521397	chr8:141527236	0.48
CASC7	9345	chr8:141530255	chr8:141539600	0.43
AGO2	104454	chr8:141541264	chr8:141645718	0.52
PTK2	344316	chr8:141667999	chr8:142012315	0.40
RP11-128L5.1	5306	chr8:142065389	chr8:142070695	0.58
DENND3	78530	chr8:142127377	chr8:142205907	0.52
RP11-809O17.1	3917	chr8:142136143	chr8:142140060	0.59
SLC45A4	101139	chr8:142217265	chr8:142318404	0.53
RP11-10J21.4	1006	chr8:142262385	chr8:142263391	0.51
RP11-10J21.3	2252	chr8:142264664	chr8:142266916	0.49
RP11-10J21.5	14634	chr8:142288327	chr8:142302961	0.56
RP11-10J21.6	1007	chr8:142336229	chr8:142337236	0.58
CTD-3064M3.1	4072	chr8:142350648	chr8:142354720	0.60
GPR20	10767	chr8:142366600	chr8:142377367	0.62
CTD-3064M3.4	2635	chr8:142400039	chr8:142402674	0.64
PTP4A3	39527	chr8:142402093	chr8:142441620	0.62
CTD-3064M3.7	3409	chr8:142444645	chr8:142448054	0.63
AC138647.1	4099	chr8:142524738	chr8:142528837	0.60
RP11-953B20.1	1792	chr8:143171188	chr8:143172980	0.58
LINC00051	10647	chr8:143279717	chr8:143290364	0.56
TSNARE1	191160	chr8:143293441	chr8:143484601	0.56
RP13-467H17.1	3376	chr8:143485013	chr8:143488389	0.60
